Beer,Country,Brewer,Rating,Matched Images,Used Image,Notes
Siren Vanilla,England,,7,,,"sour and sweet with very obvious vanilla presence. The balance is very good. Overall refreshing and leaves a nice aftertaste, similar to nutty chocolate!"
Hitachino Red Rice,Japan,,8,hitachino-white-ale,,"smooth, strong Belgian-style ale. A bit sweet and fruity. Overall caught me off guard and is pretty impressive stuff."
Rochmodis Kolsch,Germany,,7,fruh-kolsch;reissdorf-kolsch,,"quite a fruity kolsch, not so malty like others. Quite enjoyable."
All Day Session IPA,USA,,7,goose-island-ipa,,"great well rounded, well balanced refreshing IPA. Could easily drink several in one sitting."
Piraat,Belgium,,8,,,"amber coloured, quadrupel-like, spiced, hoppy flavour. Alcohol very well hidden and the taste overall is complex and rich. Yet another example of great Belgian brewing."
Cruzcampo (Draught),Spain,,7,cruzcampo,,"surprisingly good; slightly hoppy and creamy, and seemed like it was made for draught. Despite nothing exciting going on, thoroughly enjoyed it."
Erdinger Dunkel,Germany,,8,erdinger,,"nice wheat beer with slightly sweet, toasty flavour. Thoroughly enjoyable."
La Maricantana,Spain,,7,la-socarrada,,"great well rounded, well balanced refreshing IPA. Could easily drink several in one sitting."
Coco Pops Stout (Usher),Scotland,,5,black-ball-stout;brewdog-milk-stout;shg-stout,,Dominated by a sweetish lactose taste. Cocoa flavour is there. Frankly ok.
Wheat Child of Mine (Usher),Scotland,,6,colony-of-artists,,"Fruity, wheaty, full-bodied. Healthiest head of the lot. Bit of a bitter aftertaste but fine."
She's Stuck With Me (Usher),Scotland,,5,,,"IPA, a bit fruity but with a bitter kick. I think it's alright but a bit unbalanced."
Rancor (Usher),Scotland,,7,,,"Belgian dubbel. Rich, fruity taste. Straightforward flavour that you'd expect from this style, with not much complexity but quite good."
London Porter,England,,7,plum-porter,,"In the glass, looked impeccable, like a wax sculpture. To taste: a good porter, smooth and very well balanced. Nice flavour too."
Red Pig,Mexico,,7,,,"Reddish in colour, with a creamy head. Overall a nice beer."
Pacifico,Mexico,,4,,,"Tasted a bit like lime, but probably because there was a slice of lime in it! That aside, a generic-tasting but refreshing lager."
Mexicali,Mexico,,6,,,"Described by the barman as ""like a Mexian 80 shilling"", this turned out to be almost that, a dark ""special"" beer that is a cut above the standard foreign imports."
Efes Pilsner,Turkey,,4,efes-draft,,"Fairly generic pilsner. Quite drinkable, but nothing out of the ordinary going on. Accompanies a kebab pretty well though! But, seriously: ""No. 1 Mediterranean beer""?!"
Fcuked,Scotland,,6,,,An unashamed blast of hops dominates this. It's a bit one dimensional but unpretentious and despite the bitterness is enjoyable.
Mytholm Mist,England,,6,,,"Mytholm Mist: cloudy, very carbonated wheat beer. The balance isn't perfect and the flavour is a balance of citrus and slightly bitter hops. Overall, it's an enjoyable brew."
Piraat,Belgium,,8,,,"amber coloured, quadrupel-like, spiced, hoppy flavour. Alcohol very well hidden and the taste overall is complex and rich. Yet another example of great Belgian brewing."
Holsten Alcohol Free,Germany,,5,,,has a pleasant malty/lagery taste. Won't win any world beer awards any time soon but I'd definitely drink it again.
Karmi Classic,Poland,,3,,,"impulse buy from a Polish shop, features Penelope Cruz on the label. Turns out this is a low ABV beer at 0.5% but doesn't bear much resemblance to actual beer. Smells a bit like wet dog mixed with brown sugar. Tastes like cold sugary coffee. While it's not terrible, I found it way too sweet and even Ms Cruz couldn't prevent it from being poured straight down the sink!"
Kozel Cerny,Czech Republic,,6,kozel,,"light, crisp dark beer with hint of coffee in the flavour and a bit less boring than its light sibling. Despite the lack of excitement it's pleasant and refreshing. It reminds me of Coke but with the sugar removed."
Elvis Juice,Scotland,,7,,,"citrus IPA, tasted in Brew Dog, Edinburgh. Smells like grapefruit, and essentially tastes like an IPA mixed with grapefruit juice - but it's well balanced and the overall bitterness is well under control."
Hacker-Pschorr Weisse,Germany,,8,,,"With a big head, this is a smooth and rich beer with the typical flavours of banana, cloves etc that you'd normally find in this style. Perhaps a bit of spice as well. All in all, a great wheat beer."
