Beer,Country,Brewer,Rating,Matched Images,Used Image,Notes
Midnight Sun,Scotland,Williams Bros.,8,midnight-sun;unknown-sun-inn;unknown2-sun-inn,midnight-sun,Smooth black porter with toasted malt flavours. The addition of ginger and oats works well and makes for an well-rounded and very enjoyable flavour overall.
Yardbird IPA,England,Greene King,7,hackney-ipa;yardbird,yardbird,"Good quality IPA, well balanced."
Beavertown Smog Rocket,England,Beavertown,7,smog-rocket,smog-rocket,"Interesting stout, full of flavour and character."
Lagunitas IPA,USA,Lagunitas Brewing Co. (Heineken),8,goose-island-ipa;lagunitas,lagunitas,Strong IPA which appears to make great use of hops. A mix of fruity and bitter which makes overall a very satisfying brew - but don't drink too many at once!
Top Out Smoked Porter,Scotland,Top Out,7,top-out-porter;top-out-porter (2);top-out-winter-2015;porter-leith;rabbies-porter,top-out-porter,"Bottle from Royal Mile whisky shop. Smooth, dark porter with rich coffee and smoked notes. Highly drinkable and with an overall satisfying flavour. Good cold weather beer."
Eden Mill Whisky Beer,scotland,Eden Mill,6,eden-mill-whisky;bills-beer;shg-beer,eden-mill-whisky,Creamy smell/taste and creamy in the mouth. A good balance of whisky flavour to the beer and a decent brew overall but not outstanding.
Straffe Hendrik Quad,Belgium,Halve Maan,9,straffe-hendrik-quadrupel,straffe-hendrik-quadrupel,"Good head on this. The taste is that of rich dark fruits, and the 11% alcohol is very well hidden indeed. If it wasn't Wednesday I may have drank a second one. Excellent."
Monks Stout,Belgium,Dupont,6,,,"Quite a good, if watery stout with an earthy flavour."
Vichtenaar,Belgium,Verhaeghe,8,,,"Weak by Belgian standards, a sweet & sour beer that has an excellent balance of both and is very drinkable and refreshing indeed."
Nogne O Imperial Brown,Norway,Nøgne Ø (Hansa Borg),7,nogne-o-imperial-stout,,"Perhaps a tad strong but overall a rich brown ale, with distinct flavour."
Fantome Tonka,Belgium,Fantome,7,fantome-blanche;fantome-chocolat;fantome-dark-white,,"Could taste the spices a bit, but not as much as expected. Anyway, an interesting and unusual blend but it works well. Unique and moreish."
Marmalade On Rye,Scotland,Tempest,6,,,"Disappointed by how strong this was. I get the flavour, especially of the orange zest, but just feel this could be so much better. Got another bottle for 2nd opinion."
Nest Pale Ale,Japan,Kiuchi Brewery (Hitachino),7,hitachino-white-ale,,Quite a weak flavour but unmistakably a pale ale. Very easy to drink and pleasant on the palate. Understated.
Dublin Porter,Ireland,St. James’s Gate (Diageo),4,,,Typical burnt malt and coffee flavours but quite weak and not much to write home about.
Pilot Christmas,Scotland,Pilot,8,,,"Very impressed by this quad. Interesting blend of ingredients. Too strong for some but I found the alcohol very well disguised and this beer to be rich, fruity and immensely satisfying."
Pie Noir,France,Sainte Colombe,6,,,"A little watery and unfinished-tasting, but the smoked malt flavour - although subtle - wins over in the end and this turns out to be an enjoyable beer."
Gilden Kolsch,Germany,Kölner Verbund Brauereien,6,fruh-kolsch;reissdorf-kolsch,,"Typical kolsch; not much to say other than it has the expected light malty taste and is a refreshing, satisfying beer."
Krusovice,Czech Republic,Královský Pivovar Krušovice (Heineken),6,,,Decent pilsner. Light yet full-bodied with enjoyable malt character. Could easily drink several in one sitting.
La Dalmatienne,Belgium,Fantome,8,,,"Mix of strong citrus, tea and spice flavours. Not as big a head as other Fantomes. Overall an interesting, enjoyable blend and another fascinating beer from Fantome."
Tyskie,Poland,Tyskie (Kompania Piwowarska / SABMiller),5,,,
Zywiek,Poland,Żywiec (Heineken),7,,,Surprisingly good beer with solid flavour.
Howell at the Moon,Scotland,Belhaven (Greene King),6,the-cone;the-ridge-or-jarl;will-o-the-wisp,,
Bud Strong,Czech Republic,Budějovický Budvar,7,,,Strong lager with nice malt flavour.
Asahi,Japan,Asahi,4,,,"Bland, generic."
Gallia?,France,,7,,,
UnaRubia,Spain,,6,,,"Amber-coloured, crisp, refreshing, light, hoppy ale. Pleasant overall."
La Loca Juana,Spain,,6,la-socarrada,,"Amber and full bodied, flavour of caramel and roasted malts."
Black Virtus,Spain,,6,virtus-trigo,,"Smooth yet crisp, coffee aroma/flavour, hints of vanilla. Quite strong lingering taste. Perhaps could do with more depth/balance but overall it's quite good."
Happy Otter,Spain,,8,,,"Great bouquet of floral hops, hint of maltiness, great balance. It's all about the hops but there's enough going on to make it a very satisfying pale ale."
ZZ+,Spain,,7,,,"Very hoppy amber ale, reminiscent of Brew Dog. Solid combination of hops and caramel sweetness."
La Vache Folle,Spain,,7,la-socarrada,,"High carbonation, citrussy, hoppy. Quite refreshing with hint of grapefruit. Unusual."
Cerveza Mica,Spain,,7,,,"Subtle tasting beer with lightly toasted aroma and flavour. Easy to drink and enjoyable, I'd have it again."
Mahou Maestra,Spain,,7,mahou-clasica;mahou-original,,"Nice toasted malt flavour, like 1906 Reserva? Good."
Koperwiek,Spain,,5,,,Standard supermarket lager but it was enjoyable enough and preferable to Tennents or Fosters.
Argus,Spain,,6,,,"Lager made for Lidl, Spain? For a canned lager it had a nice body of flavour."
Torquemada 25,Spain,,4,mateo-25,,"barnyard smell, wierd sour/bitter taste. Overall I still enjoyed but it's not great."
Four Lions IPA,Spain,,7,stellae-ipa,,"good IPA, with nice fruity character. Well balanced and pretty good quality (surprising for Spain!)"
Four Lions Wheat,Spain,,7,dark-side-of-wheat,,"crisp and subtle, with a lingering wheaty flavour and overall it was rather nice."
Four Lions Coffee Stout,Spain,,7,,,"fruity smell. Very much a stout, very much coffee flavoured; fruitiness/bitterness combine to make something original. It's a subdued bitterness and the pronounced coffee notes make sure it does exactly what it says on the tin."
Brew Indie Brown Ale,Spain,,5,,,"coffee/roasted flavour, slight bitter taste. Ok but a bit unbalanced - too bitter?"
Brew Indie American Golden Ale,Spain,,6,,,"good head, cloudy yellow. Has a crisp, citrus hoppy taste to it and is quite refreshing, if slightly unbalanced."
Zerep Tostada,Spain,,6,,,"fruity, malty, slightly sweet strong ale. Enjoyable but has perhaps a lingering alcohol presence that overstays its welcome in the mouth."
Alhambra Negra,Spain,,5,,,slight roasted malt flavour which is pleasant. Tasted a bit mass-produced but otherwise it's ok.
Peregrina Blonde,Spain,,4,,,"had a sort of weak, bitter taste that didn't really work for me (it was a lot like that rice ale). Not too bad, but not for me."
Kadabra Belgian White,Spain,,7,,,very crisp and refreshing with pleasant citrus body. I didn't think there was a lot going on with the flavour but it was so crisp and refreshing.
Four Lions Lager,Spain,,7,dia-lager,,"earthy smell, full-bodied, slightly creamy with a malty flavour. Overall pretty satisfying and balanced."
Four Lions Brown Ale,Spain,,6,,,"fruity/earthy smell, rich creamy body. It's pleasant to drink but with a treacly/strong lingering taste that might not appeal to everyone."
Ribada,Spain,,5,,,"slightly sour, fruity, nutty? A bit wine-like, it was interesting but I wasn't sure what to make of it. Would try again."
Aora Tostada,Spain,,7,,,"Belgian-style strong ale with slightly fruity, toasty flavour. It was rather enjoyable."
Kadabra IPA,Spain,,6,stellae-ipa,,quite fruity strong IPA but the taste was a little too strong with alcohol. Still interesting.
1923 Red,Spain,,5,1906-red,,Easy to drink and ok but doesn't live up to the billing.
St Feuillien Saison,Belgium,,8,st-feuillien-blonde;st-feuillien-brune;st-feuillien-noel;saison-dupont-biologique;saison-dupont;silly-saison;st-bernardus-12;st-bernardus-triple,,well-rounded balanced saison with mixture of fruity and hoppy flavour. Very satisfying. Must try more!
Barbar Bok,Belgium,,7,,,"strong dark malty ale, with the honey flavour only subtle yet it provides a sweet, strong backbone which is borderline too strong - but overall it works well."
Pietra,France,,6,,,subtle but well balanced taste; nutty and a bit bitter. It's quite an enjoyable beer.
Moeder Overste,Belgium,,8,,,"full-bodied, well-balanced triple with a sweet taste and slightly bitter backbone. Satisfying."
La Rulles Estivale,Belgium,,9,,,"pleasantly hoppy and fresh, it was like summer in a bottle - delightful!"
Macbeth,Scotland,,7,,,Light & fruity pale ale.. Quite subtle yet with a very interesting taste.
Quetsche Tilquin,Belgium,,8,,,"light brown/purplish colour, sour smell/taste, tart with vinegar, apples. Very crisp and drinkable, cider-like. Enjoyable."
Jenlain Ambrée,France,,7,jenlain-blonde,,"well-balanced strong amber, which has a good malt presence, a pleasant, subtle fruit/bitter taste and a hint of citrus (a bit like the blonde)."
Broughton ???Ale???,Scotland,,6,,,Decent IPA with good malt presence.
Kick Off Summer Ale,Scotland,,7,archerfield-golden-ale;shg-pale-ale,,"fruity, malty and fresh, with slight bitterness, this was good stuff (similar to Bill's)."
EPA,Scotland,,6,,,"malty ale, quite nice but not as good as the Kick Off."
Northbound 33,Northern Ireland,,6,,,"dark, malty beer with a rich flavour. It's good but not my preferred style."
La Rulles Blonde,Belgium,,9,achel-blonde;affligem-blonde;grimbergen-blonde;leffe-blonde;st-feuillien-blonde;waitrose-belgian-blonde,,"cloudy yellow, rich silky head and a very well balance and easy to drink blonde. For me really hit the spot and was just about perfect."
Paulaner Muncher Dunkel,Germany,,7,,,"malty, fruity, crisp. Decent dunkel."
Bonnets Rouges,France,,6,bonnets-rouges,bonnets-rouges,"saison-like, with a light hoppiness, and an assertive fruit presence provides a nice complement and balance, for an enjoyable brew."
Sainte-Colombe Blonde,Belgium,,6,achel-blonde;affligem-blonde;grimbergen-blonde;leffe-blonde;st-feuillien-blonde;waitrose-belgian-blonde,,"fresh, saison-like blonde, with pleasant light hoppiness and refreshing."
Dramm Hud,France,,7,dramm-hud,dramm-hud,"strong yet alcohol well masked, and very well balanced. A bit of sweetness and hoppiness, and overall it's pretty good stuff."
Grimbergen Blanche,Belgium,,7,blanche-de-namur-rosee;blanche-de-namur;fantome-blanche;grimbergen-blonde;grimbergen-noel,,"nice, fresh & slightly fruity wheat beer, à la Kronenbourg Blanche."
Pelforth Brune,France,,9,brigantine-brune;coreff-brune,,"rich and slightly sweet, this exceptionally-balanced brew really hit the spot and I'd rate it among Belgium's finest (perhaps I'm biased to this style). A real surprise coming from France."
Sainte-Colombe Dorée,France,,7,,,wheat beer that is a decent example of the style and is well rounded and refreshing.
Brigantine Ambrée,France,,5,brigantine-brune,,"malty, slightly hoppy and with an almost citrus taste, this is interesting but a bit unbalanced, leaving a slightly bitter taste. This isn't an issue though, as it's just on the right side of interesting."
Super des Fagnines,Belgium,,7,abbaye-des-flandres,,decent blonde with a herbal taste.
Sainte-Colombe Blanche,France,,6,akerbeltz-blanche;blanche-hermine (2);blanche-hermine;griffonne-blanche-harmonique,,a refreshing wheat beer but probably less well-formed or satisfying than the Dorée.
Skumenn Wheat IPA,France,,6,captain-moore-ipa,,"decent kick of hops, making this interesting and overall bitter. The wheat definitely adds something, can't quite put my finger on it. Good beer."
Sineke,Belgium,,7,,,"hoppy and with a slight citrus fruit presence, similar to a pale ale, this is well balanced, bitter yet refreshing."
Swannay Island Hopping,Scotland,,7,dark-island,,easy to drink with a nice flavour of cereal malt and light bitterness. Good quality brew.
Qantelaar MM,Belgium,,7,,,"dark brown colour, taste is a bit sour, crisp and tangy, backed up by the whiskey presence. It's unusual, interesting and very enjoyable. Makes me think of flawed genius."
Tilting Ale,England,,6,kernel-pale-ale,,Good pale ale but nothing special.
Meantime Raspberry Wheat,England,,7,meantime-chocolate;samuel-smiths-wheat;thornbridge-raspberry,,"tart, refreshing. Didn't try much but will give it the benefit of the doubt."
Meantime Wheat,England,,8,meantime-chocolate;samuel-smiths-wheat,,"smooth, creamy, fruity. A very nice brew, easily my favourite from Meantime."
Meantime Lager,England,,6,hells-lager;india-hells-lager;meantime-chocolate,,not bad but a bit of harsh bitterness.
Meantime Pale Ale,England,,6,kernel-pale-ale;meantime-chocolate;samuel-smith-pale,,"a bit of fruitiness, it was ok."
Meantime African Queen(?),England,,6,meantime-chocolate,,"quite a strong pale ale-ish beer but overall was a bit too strong and imbalanced, despite being fairly decent and drinkable."
Crazy Donkey,Greece,,7,,,"smooth, strong, full-bodied, bitter. A bit much at first but part way through the 750ml bottle, my taste adapted and overall it was enjoyable."
Gauloise Brune,Belgium,,7,achel-brune;maredsous-brune;moinette-brune;st-feuillien-brune;tongerlo-brune,,"strong, rich, sweet, licquorice-flavoured, slightly spiced. Good but there are better brunes out there."
Skumenn Pale Ale,France,,6,,,"nicely hopped pale ale, cloudy and always interesting, with a pleasant bitterness. Solid effort, although some room for improvement."
